id,title,author,rating,complete,user_id,isbn
2,Hunger Games,Suzanne Collins,9,Read,2,OL34391306M
3,Iron Flame,Rebecca Yarros,8,Currently,2,OL48354738M
4,The Heir and the Spare,Kate Stradling,9,Read,2,OL32003446M
1,Dune,Frank Herbert,9,Currently,2,OL26242482M
9,The Hunter and the Mage,Kaitlyn Davis,9,Read,2,
10,The Dragon and the Queen,Kaitlyn Davis,9,TBR,2,
15,Pyforial Mage Trilogy: Fire Games,B.T. Narro,7,Read,2,
16,Pyforial Mage Trilogy: Wrath Games,B.T. Narro,7,TBR,2,
17,King Arthur and Her Knights: Enchanted,K.M. Shea,8,Read,2,
18,King Arthur and Her Knights: Enthroned,K.M. Shea,8,Read,2,
19,King Arthur and Her Knights: Embittered,K.M. Shea,8,Read,2,
20,Timeless Fairy Tales: Beauty and the Beast,K.M. Shea,7,Read,2,
21,The Kingmaker's War Book: A Gift of Poison,Kate Avery Ellison,7,Read,2,
22,Bloom,A.P. Kensey,9,Read,2,
23,Bloom: Fade,A.P. Kensey,9,Read,2,
24,Bloom: Nova,A.P. Kensey,9,Read,2,
25,Bloom: Pulse,A.P. Kensey,9,Read,2,
26,The Elementers: Power Revealed,Leah M. Berry,6,Read,2,
27,Mars,Jasmine Rose,7,Read,2,
29,King Arthur and Her Knights: Embark,K.M. Shea,7,Read,2,
31,King Arthur and Her Knights: Enlighten,K.M. Shea,8,Read,2,
32,King Arthur and Her Knights: Endeavor,K.M. Shea,8,Read,2,
35,Unfinished Fairy Tales: The Ugly Stepsister,Aya Ling,7,Read,2,
5,Beloved,Toni Morrison,3,Read,3,OL48111094M
6,The Invisible Life of Addie Larue,V.E. Schwab,9,Currently,2,OL32601275M
7,Percy Jackson and the Olympians: The Lightning Thief,Rick Riordan,10,Read,2,OL24087221M
8,The Raven and the Dove,Kaitlyn Davis,9,Read,2,OL30015155M
11,The Priory of the Orange Tree,Samantha Shannon,8,Currently,2,OL27338143M
12,Flat-Out Love,Jessica Park,8,Read,2,OL27806436M
13,Flat-Out Matt,Jessica Park,8,Read,2,OL27806436M
14,Flat-Out Celeste,Jessica Park,8,Read,2,OL27806436M
28,A Unique Kind of Love,Jasmine Rose,7,Read,2,OL32151022M
30,Island of the Blue Dolphins,Scott O'Dell; Ted Lewin,4,Read,2,OL11524776M
33,The Hunger Games: Catching Fire,Suzanne Collins,9,Read,2,OL40281282M
34,The Hunger Games: Mockingjay,Suzanne Collins,9,Read,2,OL37079703M
36,Legends of Muirwood: The Wretched of Muirwood,Jeff Wheeler,7,TBR,2,OL26848433M
37,Percy Jackson and the Olympians: Sea of Monsters,Rick Riordan,9,Read,2,OL27312894M
38,Percy Jackson and the Olympians: Titan's Curse,Rick Riordan,10,Read,2,OL42345607M
39,Percy Jackson and the Olympians: The Battle of The Labyrinth,Rick Riordan,10,Read,2,OL37026241M
40,Percy Jackson and the Olympians: The Last Olympian,Rick Riordan,10,Read,2,OL24365173M
41,The Warded Man,Peter V. Brett,10,False,2,
