Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,id
0,0,0,0,0,0,0,0,0,0,0,0,15
0,0,0,0,0,0,0,0,0,0,0,0,23
2,0,0,0,14,0,0,0,0,0,0,0,17
84,0,0,0,34,0,0,0,0,0,0,0,25
58,0,0,0,0,0,0,0,0,0,0,0,16
0,6,0,0,0,0,0,18,0,0,0,0,1
107,0,0,0,0,0,0,0,0,0,0,0,20
5,0,0,0,0,0,0,0,0,0,0,0,21
0,142,0,0,0,0,0,4,0,0,0,0,2
0,134,9,0,0,0,0,38,0,0,0,0,3
3,-1,0,0,0,0,0,0,0,0,0,0,29
0,195,30,0,0,0,0,121,0,0,0,0,4
0,70,73,4,0,0,0,0,0,0,0,0,5
0,71,9,16,0,0,0,27,0,0,0,0,6
0,75,28,0,0,0,0,19,0,0,0,0,7
0,0,5,0,2,0,0,106,0,0,0,0,10
0,0,5,0,0,0,0,74,0,0,0,0,11
35,10,0,0,0,0,26,0,0,0,0,0,24
36,9,0,0,0,0,0,0,0,0,0,0,18
0,999,0,0,0,0,0,0,0,0,0,0,22
0,0,0,0,0,0,13,0,0,0,0,0,28
0,-1,0,0,0,0,39,0,0,0,0,0,30
0,-1,0,-1,0,-1,4,-1,-1,0,-1,0,31
0,249,0,0,0,2,0,72,0,0,0,0,8
0,0,0,0,6,8,0,105,0,0,0,0,9
0,28,0,0,0,0,0,0,0,0,0,0,27
7,0,0,0,3,0,0,0,0,0,0,0,14
0,0,1,0,0,0,12,0,0,0,0,0,12
0,0,0,0,0,0,20,0,0,0,0,0,13
7,0,0,0,0,4,8,0,0,0,0,0,26
4,0,0,0,0,3,34,0,0,0,0,0,19
